Cod_setor,soma_homens,soma_mulheres,mulher_maior_igual
270670305000001,2923,3955,TRUE
270670305000002,3541,4704,TRUE
270670305000003,2958,4007,TRUE
270670305000004,2762,3719,TRUE
270670305000005,2332,3118,TRUE
270670305000006,2638,3552,TRUE
270670305000007,3084,3818,TRUE
270670305000008,2617,3385,TRUE
270670305000009,2772,3616,TRUE
270670305000010,2552,3425,TRUE
270670305000011,2904,3912,TRUE
270670305000012,3433,4634,TRUE
270670305000013,2280,3066,TRUE
270670305000014,1584,2144,TRUE
270670305000015,2908,3932,TRUE
270670305000016,3174,4300,TRUE
270670305000017,3110,4213,TRUE
270670305000018,3038,4039,TRUE
270670305000019,3795,5110,TRUE
270670305000020,3692,4991,TRUE
270670305000021,2724,3709,TRUE
270670305000022,3689,4966,TRUE
270670305000023,2302,3076,TRUE
270670305000024,1848,2509,TRUE
270670305000025,2968,3990,TRUE
270670305000026,3101,4173,TRUE
270670305000027,3990,5374,TRUE
270670305000028,3001,4050,TRUE
270670305000029,2856,3847,TRUE
270670305000030,3501,4741,TRUE
270670305000031,2934,3936,TRUE
270670305000032,3054,3934,TRUE
270670305000033,3121,4228,TRUE
270670305000034,4472,6038,TRUE
270670305000035,1430,1938,TRUE
270670305000036,1471,1982,TRUE
270670305000037,1836,2485,TRUE
270670305000038,2437,3259,TRUE
270670305000039,618,869,TRUE
270670305000040,868,1159,TRUE
270670305000041,2252,3075,TRUE
270670305000042,1599,2173,TRUE
270670305000043,1444,2020,TRUE
270670305000044,1451,1958,TRUE
270670305000045,1447,1969,TRUE
270670305000046,1194,1566,TRUE
270670305000047,994,1352,TRUE
270670305000048,596,811,TRUE
270670305000049,1935,2621,TRUE
270670305000050,1739,2317,TRUE
270670305000051,1716,2324,TRUE
270670305000052,1390,1832,TRUE
270670305000053,1138,1521,TRUE
270670305000054,496,696,TRUE
270670305000055,1255,1733,TRUE
270670305000056,1221,1600,TRUE
270670305000057,753,1044,TRUE
270670305000058,1978,2603,TRUE
270670305000059,2968,3978,TRUE
270670305000060,2622,3486,TRUE
270670305000061,2372,3209,TRUE
270670305000062,1914,2575,TRUE
270670305000063,2054,2777,TRUE
270670305000064,465,643,TRUE
270670305000065,523,689,TRUE
270670305000066,311,421,TRUE
270670305000067,467,625,TRUE
270670305000068,375,526,TRUE
