Cod_setor,soma_homens,soma_mulheres,responsavel
270670305000001,175,140,Homem
270670305000002,199,177,Homem
270670305000003,184,135,Homem
270670305000004,159,138,Homem
270670305000005,110,138,Mulher
270670305000006,140,141,Mulher
270670305000007,189,118,Homem
270670305000008,140,133,Homem
270670305000009,189,105,Homem
270670305000010,133,140,Mulher
270670305000011,172,139,Homem
270670305000012,211,159,Homem
270670305000013,149,99,Homem
270670305000014,83,86,Mulher
270670305000015,195,119,Homem
270670305000016,241,103,Homem
270670305000017,215,122,Homem
270670305000018,225,110,Homem
270670305000019,238,174,Homem
270670305000020,240,160,Homem
270670305000021,215,84,Homem
270670305000022,235,166,Homem
270670305000023,134,112,Homem
270670305000024,114,86,Homem
270670305000025,112,209,Mulher
270670305000026,172,163,Homem
270670305000027,251,180,Homem
270670305000028,201,125,Homem
270670305000029,184,127,Homem
270670305000030,231,150,Homem
270670305000031,174,143,Homem
270670305000032,124,199,Mulher
270670305000033,223,117,Homem
270670305000034,325,165,Homem
270670305000035,97,70,Homem
270670305000036,109,51,Homem
270670305000037,163,42,Homem
270670305000038,188,86,Homem
270670305000039,52,24,Homem
270670305000040,93,14,Homem
270670305000041,233,37,Homem
270670305000042,144,35,Homem
270670305000043,163,15,Homem
270670305000044,104,53,Homem
270670305000045,131,37,Homem
270670305000046,89,65,Homem
270670305000047,85,25,Homem
270670305000048,51,21,Homem
270670305000049,167,57,Homem
270670305000050,149,54,Homem
270670305000051,154,38,Homem
270670305000052,128,39,Homem
270670305000053,122,17,Homem
270670305000054,43,20,Homem
270670305000055,118,36,Homem
270670305000056,128,26,Homem
270670305000057,74,20,Homem
270670305000058,124,89,Homem
270670305000059,176,143,Homem
270670305000060,171,109,Homem
270670305000061,154,104,Homem
270670305000062,149,60,Homem
270670305000063,94,128,Mulher
270670305000064,48,10,Homem
270670305000065,36,21,Homem
270670305000066,20,16,Homem
270670305000067,45,8,Homem
270670305000068,35,11,Homem
